message,class
ทุกคน คือ กู มี ความคิด จะ เปิด ข้าวมันไก่ เอ้ย,9arm
เอา เปิด ข้าวมันไก่ อะไร ทุกคน วันนี้ จะ มา,9arm
เล่า ให้ ฟัง Story time ก็ คือ เรื่อง ที่ ครั้งนั้น ผม เคย คิด จะ เปิดร้าน ข้าวมันไก่ ใน อเมริกา ครับ ถ้า คุณ ชอบ ค เท น แบบนี้ และ อยาก,9arm
เลี้ยง กาแฟ ผม สามารถ ที่จะ ทำ ได้ที่ ระบบ เม ers ช hip ครับ สมาชิก สามารถ ดู ไลฟ์ ย้อนหลัง ได้ แบบ เต็มๆ มี โพสต์ หลังบ้าน เฉพาะ สมาชิก มี บัตรเครดิต สี สวย อยู่ หลัง ชื่อ ด้วย นะ ครับ,9arm
และ ผม ต้อง ขอ ขอบคุณ สมาชิก ทุกท่าน ครับ ที่ ช่วย ให้ ผม สามารถ สร้างสรรค์ คท ent ได้ แบบ ที่ เป็นตัวของตัวเอง สุด ๆ และ ขอ ขอบคุณ คุณ ผู้ชม,9arm
ทุกท่าน ที่ รับ ชม นะ ครับ คือ งี้ เนื่องด้วย ความ อยู่ไม่สุข หรือ อะไร,9arm
ก็แล้วแต่ เรา อยาก มี ธุรกิจ ไง เรา แบบ ว่า อื,9arm
ต้อง เปิด ธุรกิจ กลับ มาจาก ไทย มี ชาว เพื่อน มี เพื่อน ๆ แบบ ว่า เฮ้ย เรา ควรจะ ทำ ธุรกิจ กัน มั้ย ครับ อ้า โอเค ได้ เลย ไหน พวก มึง ทำ อะไร กัน คือ ระหว่าง ที่ เรา อยู่ ไทย เนี่ย เรา ยุ่ง ๆ อะไร เงี้ย เพื่อน ผม เนี่ย เค้า ก็ ไป เรียน แบบ ว่า เปิด ร้านกาแฟ เว้ย อ้า ไป เรียน วิธีการ เปิด ร้านกาแฟ เป็น คอร์ส เลย นะ ไป เรียน ชงกาแฟ แซ ไป เรียน ทำ อา รท ก็ คือ แบบ เอ้ย หรือว่า เรา ได้,9arm
เพราะ เรา กิน กาแฟ จริงจัง จัด คือ เป็น คน กิน,9arm
กาแฟ จริงจัง แล้วก็ แบบ อ่ะ จะ เปิด ร้านกาแฟ,9arm
หรอ มัน ต้อง เป็น ยังไง วะ ใช่ มั้ เค้า ก็ ไป,9arm
เรียน มา ผม กลับ มาถึง อเมริกา เค้า ก็ ชวน ผม ไป แบบ ว่า คุณ คุณ ไป เรียน ดิ ไอ้ ไอ้ คอร์ส เนี่ย ที่ เขา ไป เรียน มา แล้ว อ่ะ ไป เรียน ดิ ผม ก็ อ่ะ,9arm
โอเค อ่า ไป ก็ได้ เป็น คลาส นึง เป็น คลาส แบบ ว่า Coffee Shop 101 คือ แบบ ว่า เป็น Wisdom ของ คน ที่ เคย เปิด ร้านกาแฟ มา แล้ว เยอะ ๆ อะไร อย่าง เงี้ย ว่า มัน จะ ต้อง มี อะไร บ้าง เรา จะ ได้ ไม่ต้อง ไป ศึกษา หา เอง ก็ มี คน มา บอก เรา อ้า โอเค ก็ ไป ก็ ลงทะเบียน ไป ใช่ มั้ย ก็ ไป ปั๊บ วัน นั้น ก็ ไป นั่ง เรียน เว้ย ว่า แบบ คือ ที่ เรียน,9arm
เนี่ย มัน เป็น อ่า ร้าน คั่ว กาแฟ เ้า เป็น คน ส่ง,9arm
อุปกรณ์ ซัพ พล ให้ กับ ร้านกาแฟ ไม่ ว่า จะ เป็น,9arm
เมล็ด ที่ เขา คั่ว เอง หรือว่า เป็น เครื่อง,9arm
อุปกรณ์ ธง กาแฟ อะไร อย่าง เงี้ย แล้ว เา ค้า ก็ มี ลูกค้า เป็น ร้านกาแฟ ดังนั้น ลูกค้า เค้า,9arm
เนี่ย เป็น ร้านกาแฟ แบบ ใหญ่ มาก เป็น ร ใน ใน Minesota เนี่ย ใช่ มั้ย เค้า ก็ แบบ ว่า เออ คุณ ก็ ต้อง มี อันนี้ แล้ว นี่ ก็ คือ คอม มอน เป็น,9arm
สิ่ง ที่ ทุกคน เจอ เป็นปัญหา ที่ ทุกคน เจอ แล้ว แก้ ยังไง คุณ จะ ได้ อะไร ก็ ไป นั่ง ฟัง ฟัง โอ้ ไป,9arm
นั่ง ฟัง ผม ก็ โอ้โห แล้ว แพ รา ะ เค พูดถึง แบบ ว่า อ่า ประมาณ นี้ นะ คุณ จะ ต้อง ใช้ เงิน ประมาณ เท่านี้ ใน การ เปิด ร้านกาแฟ 1 ล้าน ก็ คือ ต้อง ไป มี ดีไซน์ มี อะไร มี เครื่อง ชงกาแฟ ราคา,9arm
เท่านี้ คุณ จะ ต้อง มี เครื่อง โหวต กี่ อัน นู่น,9arm
นี่ ราคา วิ่ง ไป แบบ 150 000 150 000 ดอลลาร์ ก็ ตก ประมาณ 3 4 ล้าน บาท เพราะ ผม ก็ แบบ ว่า โอ้ ลงทุน 3 4 ล้าน เปิด ล้าน ก็ แฟ แต่ ก็ ต้อง มี เสียค่าเช่า อีก เดือน ละ เป็น แสน บาท,9arm
ประมาณ 3 4 000 ดอลลาร์ ใน เมือง นะ แล้วก็ แต่ละคน ก็ คือ มี งานประจำ ทำ กัน ทั้งนั้น ใคร จะ มา นั่ง แต่ว่า ก็ มี ไอเดีย ไง มี ไอเดีย ก็ กลับมา นั่ง คิด ที่ บ้าน ว่า แบบ โอ้โห ร้านกาแฟ,9arm
เรา อาจจะ ต้อง พอ ส ไป ก่อน เพราะว่า มัน ใช้ เงิน,9arm
เยอะ มาก เลย แต่ว่า มี อะไร ที่ เรา สามารถ ทำได้ เลย ป่ะ ใช่ มั้ย แบบ ว่า ไม่ต้อง ลงทุน เยอะ ขนาด นั้น น่ะ คือ เรา เรา เคย ขายของ อยู่แล้ว งาน แบบ ที่ เป็น ของ คนไทย อ่ะ อี เว ent ใคร ใน เรา ก็ ไป,9arm
ขายของ มา แล้วไป ขาย สังข ยามา ปีก่อน ไป ขาย,9arm
ข้าวมันไก่ มา อ่ะ ทุกคน นี่ คือ นี่ คือ เรื่อง ข้าวมันไก่ ใช่ มั้ที นี้ ข้าวมันไก่ เรา ขาย ไป,9arm
แล้ว ปี ที่ แล้วก็ ก็ ดู ขายดี แล้วก็ แบบ ทุกคน,9arm
ชอบ ฝรั่ง ซื้อ นันู่น นี่ เออ ทุกคน มา แบบ อู้,9arm
โอเค งั้น เรา รู้เรื่อง เข้า มัน ไก่ อยู่แล้ว,9arm
นี่ หว่า อะไร อย่างงี้ นะ ก็ มี ไอเดีย ไว้ ใช่ มั้ย ประกอบ กับ ไอ้ พาร์ทเนอร์ 1 ท่าน เนี่ย เขา ก็ เฮ้ย พี่ อาร์ม ตรงนี้ มี ร้าน แบบ ว่าง ให้,9arm
เช่า พอดี เลย แบบ ว่า มี สถานที่ ที่ แบบ ว่า ให้ เช่า เปิดร้าน น่ะ ซึ่ง มัน อยู่ ใกล้ บ้าน มาก ก็ แบบ ว่า อ๋อ หรอ เออ ไหน ดู ซิ ร้าน อ๋อ ร้าน นี้ มัน,9arm
